week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
4/30/2016,47,cheap thrills,Sia Featuring Sean Paul,55,39,9,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
5/7/2016,3,one dance,Drake Featuring WizKid & Kyla,13,3,3,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
5/7/2016,4,work,Rihanna Featuring Drake,1,1,13,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
5/7/2016,21,sorry,Justin Bieber,16,1,26,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
5/7/2016,47,cheap thrills,Sia Featuring Sean Paul,47,39,10,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
5/7/2016,48,the hills,The Weeknd,39,1,48,the weeknd,,the weeknd_the hills,The Weeknd-the hills
5/14/2016,2,one dance,Drake Featuring WizKid & Kyla,3,2,4,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
5/14/2016,6,work,Rihanna Featuring Drake,4,1,14,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
5/14/2016,31,sorry,Justin Bieber,21,1,27,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
5/14/2016,54,cheap thrills,Sia Featuring Sean Paul,47,39,11,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
5/21/2016,1,one dance,Drake Featuring WizKid & Kyla,2,1,5,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
5/21/2016,6,work,Rihanna Featuring Drake,6,1,15,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
5/21/2016,27,sorry,Justin Bieber,31,1,28,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
5/21/2016,48,cheap thrills,Sia Featuring Sean Paul,54,39,12,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
5/28/2016,1,can't stop the feeling!,Justin Timberlake,-,1,1,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
5/28/2016,2,one dance,Drake Featuring WizKid & Kyla,1,1,6,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
5/28/2016,8,work,Rihanna Featuring Drake,6,1,16,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
5/28/2016,24,sorry,Justin Bieber,27,1,29,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
5/28/2016,38,cheap thrills,Sia Featuring Sean Paul,48,38,13,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
6/4/2016,1,one dance,Drake Featuring WizKid & Kyla,2,1,7,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
6/4/2016,3,can't stop the feeling!,Justin Timberlake,1,1,2,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
6/4/2016,8,work,Rihanna Featuring Drake,8,1,17,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
6/4/2016,29,sorry,Justin Bieber,24,1,30,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
